path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream
test/cli-json-stdout.e2e.test.ts	owned-test-directory	no	present	present	no	yes
test/e2e/qa-lab/runtime/fixtures/worker-inference-generation-provider/index.js	owned-test-directory	no	present	present	no	yes
test/e2e/qa-lab/runtime/node-worker-launch-wire.e2e.test.ts	owned-test-directory	no	present	present	no	yes
test/e2e/qa-lab/runtime/paired-node-worker-wire-fixture.ts	owned-test-directory	no	present	present	no	yes
test/e2e/qa-lab/runtime/worker-inference-generation-reload.ts	owned-test-directory	no	present	present	no	yes
test/openclaw-launcher.e2e.test.ts	owned-test-directory	no	present	present	no	yes
test/pr126853-heartbeat-visible-lane-proof.e2e.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/mantis-build-telegram-desktop-proof-evidence.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/mantis-build-telegram-evidence.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/mantis-publish-pr-evidence.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/mantis-telegram-desktop-proof-workflow.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/mantis-web-ui-chat-evidence.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/run-vitest.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/run-with-lease-fence.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/telegram-mantis-lane.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/telegram-mantis-sut.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/vitest-process-diagnostics.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/vitest-process-group.test.ts	owned-test-directory	no	present	present	no	yes
test/scripts/write-cli-startup-metadata.test.ts	owned-test-directory	no	present	present	no	yes
test/vitest-ui-e2e-config.test.ts	owned-test-directory	no	present	present	no	yes
test/vitest/vitest.ui-e2e.sequencer.ts	owned-test-directory	no	present	present	no	yes
ui/src/api/gateway.node.test.ts	test-file	no	present	present	no	yes
ui/src/app/app-host-native-shell.test.ts	test-file	no	present	present	no	yes
ui/src/app/app-host-pairing-access.test.ts	test-file	no	present	present	no	yes
ui/src/app/app-host.dock-suppression.test.ts	test-file	no	present	present	no	yes
ui/src/app/app-host.document-title.test.ts	test-file	no	present	present	no	yes
ui/src/app/bootstrap.test.ts	test-file	no	present	present	no	yes
ui/src/app/control-ui-environment.test.ts	test-file	no	present	present	no	yes
ui/src/app/exec-approval.test.ts	test-file	no	present	present	no	yes
ui/src/components/app-sidebar-session-catalogs.test.ts	test-file	no	present	present	no	yes
ui/src/components/exec-approval-card.test.ts	test-file	no	present	present	no	yes
ui/src/components/exec-approval.test.ts	test-file	no	present	present	no	yes
ui/src/components/login-gate.test.ts	test-file	no	present	present	no	yes
ui/src/components/session-data-controller-events.test.ts	test-file	no	present	present	no	yes
ui/src/components/session-data-controller.event-refresh.test.ts	test-file	no	present	present	no	yes
ui/src/components/session-hovercard.test.ts	test-file	no	present	present	no	yes
ui/src/components/session-owner-chip.browser.test.ts	test-file	no	present	present	no	yes
ui/src/components/session-progress-card.test.ts	test-file	no	present	present	no	yes
ui/src/components/settings-sidebar.test.ts	test-file	no	present	present	no	yes
ui/src/components/tooltip.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-active-turn-recovery.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-agent-run-transcript.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-composer-catalog.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-composer-redesign.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-flow.active-run-follow-ups.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-flow.dynamic-catalog.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-flow.navigation-presentation.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-flow.session-start.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-flow.streaming.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-message-actions.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-run-lifecycle.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-tool-turn-outcome.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-transcript-disclosure-anchor.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/chat-user-bubble-disclosure.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/device-scope-upgrade.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/initial-connect-splash.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/login-gate.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/native-nav-sidebar-toggle.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/profile-page.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/session-list-filter.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/session-management.groups.e2e.test.ts	test-file	yes	present	present	yes	yes
ui/src/e2e/session-ownership.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/session-placement.move.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/session-progress-hovercard.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/session-transcript-search.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/e2e/usage-cost-analysis.e2e.test.ts	test-file	no	present	present	no	yes
ui/src/lib/chat/outbox-store.test.ts	test-file	no	present	present	no	yes
ui/src/lib/session-display.test.ts	test-file	no	present	present	no	yes
ui/src/lib/sessions/connection-hydration.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-agent-run-grouping.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-pane-session-controls.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-progress.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-responsive.browser.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-send.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-state.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-thread.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/chat-view.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/components/chat-message-markdown.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/components/chat-message.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/components/chat-transcript-render.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/models.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/realtime-talk-audio.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/session-snapshot-store.test.ts	test-file	no	present	present	no	yes
ui/src/pages/chat/session-snapshot-store.ts	test-support-fixture-snapshot	no	present	present	no	yes
ui/src/pages/model-setup/first-run.test.ts	test-file	no	present	present	no	yes
ui/src/pages/plugin/plugin-page.test.ts	test-file	no	present	present	no	yes
ui/src/pages/profile/identity-section.test.ts	test-file	no	present	present	no	yes
ui/src/pages/sessions/view.browser.test.ts	test-file	yes	present	present	yes	yes
ui/src/pages/sessions/view.test.ts	test-file	no	present	present	no	yes
